Country Name,Country Code,Indicator Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Germany,DEU,Adjusted net national income (current US$),2.91E+12,3.14E+12,2.87E+12,2.87E+12,3.19E+12,2.99E+12,3.16E+12,3.27E+12,2.84E+12,2.92E+12
Dominica,DMA,Adjusted net national income (current US$),365797440.5,399328223.8,420801193.2,427011911.9,417116502.7,389994313.6,392136158.6,413013649,416389023.9,447826819.6
Denmark,DNK,Adjusted net national income (current US$),2.62E+11,2.87E+11,2.63E+11,2.67E+11,2.86E+11,2.73E+11,2.91E+11,3.03E+11,2.59E+11,2.62E+11
Dominican Republic,DOM,Adjusted net national income (current US$),38864108785,44127136515,44503768073,49455026024,52499578077,54925431665,55146552538,57950668687,61066419053,63637259606
Algeria,DZA,Adjusted net national income (current US$),1.04E+11,1.31E+11,1.11E+11,1.32E+11,1.59E+11,1.66E+11,1.67E+11,1.70E+11,1.35E+11,1.26E+11
Ecuador,ECU,Adjusted net national income (current US$),37417937205,47150016315,50673636017,55013384302,61978808743,69998390642,76263451081,81314335142,82360006749,80907982022
"Egypt, Arab Rep.",EGY,Adjusted net national income (current US$),1.12E+11,1.36E+11,1.66E+11,1.87E+11,1.96E+11,2.37E+11,2.45E+11,2.63E+11,2.99E+11,2.99E+11
Spain,ESP,Adjusted net national income (current US$),1.22E+12,1.34E+12,1.23E+12,1.17E+12,1.20E+12,1.09E+12,1.11E+12,1.13E+12,9.85E+11,1.02E+12
Estonia,EST,Adjusted net national income (current US$),17860764394,19486975008,15720042513,15254120133,18516222341,18578368688,20580011976,21362582625,18457316012,19171598574
Ethiopia,ETH,Adjusted net national income (current US$),14206927672,20294217991,24487528506,22705551234,23733583972,32537408971,35672516128,42116207113,48195221266,53537238753
Finland,FIN,Adjusted net national income (current US$),2.12E+11,2.33E+11,2.05E+11,2.04E+11,2.23E+11,2.08E+11,2.18E+11,2.22E+11,1.90E+11,1.96E+11
Fiji,FJI,Adjusted net national income (current US$),3042575032,3158999544,2618475424,2770146280,3196401976,3336177620,3638891878,3735512036,3686345638,3913193350
France,FRA,Adjusted net national income (current US$),2.28E+12,2.48E+12,2.26E+12,2.23E+12,2.42E+12,2.24E+12,2.34E+12,2.38E+12,2.03E+12,2.06E+12
Gabon,GAB,Adjusted net national income (current US$),5942820526,6985104006,7130030925,7396150576,8434608196,8660007805,9629487952,11534962301,10063579527,10031614851
United Kingdom,GBR,Adjusted net national income (current US$),2.66E+12,2.48E+12,2.04E+12,2.12E+12,2.28E+12,2.27E+12,2.33E+12,2.55E+12,2.44E+12,2.24E+12
Georgia,GEO,Adjusted net national income (current US$),9204203911,11382571243,9549622128,9957815954,12201380435,13853667105,14017852372,14552868026,12080801015,12096006833
Ghana,GHA,Adjusted net national income (current US$),19953261599,22559705558,20039298678,24325461569,28039403274,27755671937,32525035729,24201967021,24123520686,26869298120
Guinea,GIN,Adjusted net national income (current US$),4995815983,5194204527,4827127323,4937963911,4752413649,5208812785,6168705525,6522784515,6444544483,5751241941
"Gambia, The",GMB,Adjusted net national income (current US$),590258035,706228604.6,646961347.8,686160511.6,608910493.4,601197198.8,605206847.8,563625251,604022087.2,649854080.1
Guinea-Bissau,GNB,Adjusted net national income (current US$),584710188.6,715649412.8,675405041.2,714924703.4,952254674.9,825504975.4,848038081.7,925504713,853278479.6,900884655
Equatorial Guinea,GNQ,Adjusted net national income (current US$),3555931390,4681100248,4520147374,2786942310,4071401987,4776401299,5893559628,6902896867,5443459370,4866200425
Greece,GRC,Adjusted net national income (current US$),2.64E+11,2.90E+11,2.70E+11,2.43E+11,2.28E+11,1.99E+11,1.93E+11,1.93E+11,1.58E+11,1.54E+11
Guatemala,GTM,Adjusted net national income (current US$),29225329644,33222313639,31931519368,34556090337,39654107829,42359513327,45383181688,49081376816,53680713076,57822967976
Guyana,GUY,Adjusted net national income (current US$),1703678278,1794850466,1889858417,1993962324,2175836573,2353052821,2503487593,2692639490,2788362368,3054097722
Honduras,HND,Adjusted net national income (current US$),11058947857,12356515244,12952638443,13896114219,15472302115,15999367804,15838157063,16700597771,18100667631,18673703483
Croatia,HRV,Adjusted net national income (current US$),49726449854,57735051010,50230396461,48088957055,50431193664,45651289214,47512347640,47051779946,40696539461,40431613443
Haiti,HTI,Adjusted net national income (current US$),5619352823,6219322451,6266253382,6254454291,7141169193,7502330321,7991614227,8273049182,8207186924,7526808700
Hungary,HUN,Adjusted net national income (current US$),1.07E+11,1.22E+11,1.00E+11,1.00E+11,1.08E+11,98284086542,1.07E+11,1.09E+11,94988911756,98054245054
Indonesia,IDN,Adjusted net national income (current US$),3.04E+11,3.59E+11,3.95E+11,5.65E+11,6.61E+11,6.86E+11,6.85E+11,6.73E+11,6.63E+11,7.36E+11
India,IND,Adjusted net national income (current US$),1.05E+12,1.02E+12,1.16E+12,1.43E+12,1.57E+12,1.58E+12,1.60E+12,1.77E+12,1.81E+12,1.94E+12
Ireland,IRL,Adjusted net national income (current US$),1.94E+11,1.99E+11,1.62E+11,1.52E+11,1.59E+11,1.49E+11,1.66E+11,1.79E+11,1.61E+11,1.80E+11
"Iran, Islamic Rep.",IRN,Adjusted net national income (current US$),2.75E+11,3.14E+11,3.34E+11,3.98E+11,4.71E+11,4.75E+11,3.58E+11,3.33E+11,3.00E+11,3.18E+11
Iraq,IRQ,Adjusted net national income (current US$),70140356999,1.07E+11,92793855300,1.11E+11,1.41E+11,1.70E+11,1.84E+11,1.81E+11,1.40E+11,1.26E+11
Israel,ISR,Adjusted net national income (current US$),1.52E+11,1.80E+11,1.72E+11,1.97E+11,2.23E+11,2.16E+11,2.48E+11,2.65E+11,2.57E+11,2.72E+11
Italy,ITA,Adjusted net national income (current US$),1.86E+12,1.98E+12,1.81E+12,1.75E+12,1.86E+12,1.69E+12,1.73E+12,1.76E+12,1.49E+12,1.53E+12
Jamaica,JAM,Adjusted net national income (current US$),11079525636,11979746983,10375128939,11619403295,12813661023,13409990613,12783088390,12470912709,12619839465,12177246454
Jordan,JOR,Adjusted net national income (current US$),16030705294,20394266621,22168018238,23869595998,25989769848,27804378257,30243306888,32191684250,33679511686,34855800247
Japan,JPN,Adjusted net national income (current US$),3.62E+12,3.97E+12,4.06E+12,4.49E+12,4.87E+12,4.93E+12,4.14E+12,3.91E+12,3.57E+12,3.95E+12
Kazakhstan,KAZ,Adjusted net national income (current US$),67513259976,82868358195,78205638469,94413940716,1.19E+11,1.35E+11,1.64E+11,1.54E+11,1.41E+11,97337521548
Kenya,KEN,Adjusted net national income (current US$),26476552047,29961548774,30886327916,33542478347,35457769922,42373700725,46358816490,50677721151,52955189910,59402807182
Kyrgyz Republic,KGZ,Adjusted net national income (current US$),3405423597,4189970783,3788791892,3620978226,4442068991,5373583353,5409697660,5533888914,4916513990,4764696263
Cambodia,KHM,Adjusted net national income (current US$),7488225541,8872782150,8765992646,9451884878,10799211717,11840023482,13026312951,13986060967,15033436258,16644264855
Kiribati,KIR,Adjusted net national income (current US$),169635461.3,188426171.6,169244552.8,208560092.8,227524878,255259626.7,275921974.1,326958657.1,323120769.3,244713839.1
"Korea, Rep.",KOR,Adjusted net national income (current US$),9.28E+11,8.18E+11,7.26E+11,8.95E+11,9.82E+11,9.98E+11,1.06E+12,1.14E+12,1.12E+12,1.14E+12
Kuwait,KWT,Adjusted net national income (current US$),1.07E+11,1.29E+11,98600580427,1.03E+11,1.31E+11,1.48E+11,1.50E+11,1.45E+11,1.07E+11,1.01E+11
Lebanon,LBN,Adjusted net national income (current US$),20968020872,24784387233,29783035946,31895645355,33099560298,36014873038,37657398919,38769837191,39943052337,39635905765
Liberia,LBR,Adjusted net national income (current US$),431887898.7,441958602.6,686504470.7,745345692.7,981303238.5,943677018.7,1075372751,1090715874,1113799276,1112973037
St. Lucia,LCA,Adjusted net national income (current US$),1036602062,1041211813,1051145250,1152775718,1219819631,1206149389,1253538467,1251075114,1325102570,1333722289
Sri Lanka,LKA,Adjusted net national income (current US$),30016116234,37216249956,39104283091,52624874495,60392307823,62727440628,67391870512,71693298488,72573535654,73348958638
Lesotho,LSO,Adjusted net national income (current US$),2292261317,2261845971,2137955670,2642089005,2828954754,2607698170,2416913984,2421667818,2308820947,2128270753
Lithuania,LTU,Adjusted net national income (current US$),33570933054,40400210845,32585233601,31066826233,36057824352,35841160085,39002932074,41444538773,34232033375,35352188841
Luxembourg,LUX,Adjusted net national income (current US$),39065153184,40079046385,28206593048,31700481938,33694762113,31456972444,34020493271,35296976806,31417464269,32769419194
Latvia,LVA,Adjusted net national income (current US$),23320407607,27275123519,21848874061,18042662181,21317297570,20933903312,22914539137,23834402985,20655872824,21341587736
Morocco,MAR,Adjusted net national income (current US$),69892359163,81514198242,81356107126,81225062860,88118384505,85186947443,93499641174,94950911346,87804646485,90069568969
Moldova,MDA,Adjusted net national income (current US$),4326484039,6028812341,5216108374,5828788842,7118170573,7614048002,8326208705,8274851675,6543666503,6735301903
Madagascar,MDG,Adjusted net national income (current US$),6800126058,8705473485,7952763094,8029767004,9040309759,8947318584,9477389578,9506369563,8641337018,8910175309
Maldives,MDV,Adjusted net national income (current US$),1490624096,1836477876,1825264700,1973628161,2819219015,2856708038,3317886782,3634364229,3855275116,4071295631
Mexico,MEX,Adjusted net national income (current US$),8.95E+11,9.34E+11,7.68E+11,9.03E+11,9.81E+11,9.87E+11,1.04E+12,1.09E+12,9.81E+11,8.89E+11
"Macedonia, FYR",MKD,Adjusted net national income (current US$),5915754222,7577282617,7334579011,7160658988,8059708857,7415190010,8412153675,8878184454,7848361272,8355949749
Mali,MLI,Adjusted net national income (current US$),7112112687,8075336781,8273441876,8384969813,9895083405,8781525618,9861252039,11150201853,9931762053,10485273438
Myanmar,MMR,Adjusted net national income (current US$),19295741737,30606380655,35830879696,48044743733,57510097646,54730386234,55338462338,58754208303,54096324036,57505592838
Montenegro,MNE,Adjusted net national income (current US$),3328428643,4118778255,3647679980,3634403928,4097062897,3695516851,4048681543,4128320789,3683287564,3906801097
Mongolia,MNG,Adjusted net national income (current US$),3266149990,4198781767,3396122244,4962489358,7016943973,9204974639,9768812932,8810227375,8645087341,8103761342
Mozambique,MOZ,Adjusted net national income (current US$),7744648500,9516875200,9310422146,8512625835,11054333172,12135802732,13291550242,13803196109,11744686493,8566275076
Mauritania,MRT,Adjusted net national income (current US$),2100808905,2457329825,2746355934,2932987264,3398387697,3244648446,3381320734,3406456257,3083042675,2900297853
Mauritius,MUS,Adjusted net national income (current US$),7507410786,9010386852,7996714015,8843103205,9974462829,9907778098,10225653908,10435575737,9651541327,9976586142
Malawi,MWI,Adjusted net national income (current US$),3450957940,4222829287,4449909708,5215375109,6093833315,4334805039,3898741747,4251811968,4391737013,3635417843
Malaysia,MYS,Adjusted net national income (current US$),1.49E+11,1.75E+11,1.56E+11,1.95E+11,2.31E+11,2.39E+11,2.49E+11,2.60E+11,2.34E+11,2.33E+11
Namibia,NAM,Adjusted net national income (current US$),7431585666,7375968780,7709123537,9554283659,10584542533,11065913575,11179236784,11259342312,10097157311,9294362927
Niger,NER,Adjusted net national income (current US$),3733267565,4693029327,4642812387,5000345798,5563426400,5835117385,6370770623,6724874515,5821597202,6041624602
Nigeria,NGA,Adjusted net national income (current US$),1.23E+11,1.53E+11,1.29E+11,2.96E+11,3.15E+11,3.61E+11,4.03E+11,4.64E+11,4.06E+11,3.41E+11
Nicaragua,NIC,Adjusted net national income (current US$),6474774357,7606478393,7443183654,7664409359,8537302480,9174443802,9542524166,10326422551,11143992490,11535857526
Netherlands,NLD,Adjusted net national income (current US$),7.11E+11,7.64E+11,7.08E+11,6.98E+11,7.56E+11,6.99E+11,7.26E+11,7.25E+11,6.27E+11,6.39E+11
Norway,NOR,Adjusted net national income (current US$),3.10E+11,3.49E+11,2.99E+11,3.37E+11,3.84E+11,3.93E+11,4.10E+11,3.99E+11,3.17E+11,3.04E+11
Nepal,NPL,Adjusted net national income (current US$),9651905792,11749435519,12095158562,14877174069,17566146872,17577497430,17952228935,18804801174,20076679658,19739672119
New Zealand,NZL,Adjusted net national income (current US$),1.08E+11,1.02E+11,96670976729,1.16E+11,1.35E+11,1.42E+11,1.55E+11,1.64E+11,1.44E+11,1.51E+11
Pakistan,PAK,Adjusted net national income (current US$),1.39E+11,1.56E+11,1.59E+11,1.70E+11,2.07E+11,2.19E+11,2.27E+11,2.42E+11,2.70E+11,2.79E+11
Panama,PAN,Adjusted net national income (current US$),18424642780,22184599287,23909968462,25207594841,30872571945,35794291134,40327657007,43640364962,44305894605,46177073975
Peru,PER,Adjusted net national income (current US$),78531843174,95438576544,97595451353,1.17E+11,1.34E+11,1.54E+11,1.65E+11,1.66E+11,1.58E+11,1.58E+11
Philippines,PHL,Adjusted net national income (current US$),1.53E+11,1.82E+11,1.83E+11,2.14E+11,2.38E+11,2.71E+11,2.99E+11,3.10E+11,3.24E+11,3.36E+11
Papua New Guinea,PNG,Adjusted net national income (current US$),6614982164,7887869061,8340631848,10066357735,12970130314,16097249806,16895878870,18506432171,17212986032,16629460766
Poland,POL,Adjusted net national income (current US$),3.58E+11,4.56E+11,3.75E+11,4.08E+11,4.52E+11,4.27E+11,4.47E+11,4.62E+11,4.05E+11,3.97E+11
Portugal,PRT,Adjusted net national income (current US$),1.94E+11,2.08E+11,1.93E+11,1.89E+11,1.96E+11,1.72E+11,1.83E+11,1.85E+11,1.59E+11,1.66E+11
Paraguay,PRY,Adjusted net national income (current US$),11080094051,15065627988,12715564799,15940754779,20599296417,19645978912,23452938988,25199356059,22046945088,22114661530
